"Time (s)","X (hPa)"
3.843615431E2,9.645463562E2
3.854273161E2,9.645570374E2
3.864930871E2,9.645684814E2
3.875588991E2,9.645863342E2
3.886247081E2,9.645943451E2
3.896905241E2,9.646038055E2
3.907563711E2,9.646157074E2
3.918221641E2,9.646263885E2
3.928879751E2,9.646272278E2
3.939537861E2,9.646386719E2
3.950196091E2,9.646455383E2
3.960854081E2,9.646514893E2
3.971511841E2,9.646657562E2
3.982169471E2,9.646749115E2
3.992827471E2,9.646852112E2
4.003485361E2,9.646863556E2
4.014142841E2,9.647014618E2
4.024800961E2,9.647051239E2
4.035458761E2,9.647219849E2
4.046116491E2,9.647329712E2
4.056774061E2,9.647624207E2
4.067431931E2,9.647775269E2
4.078089951E2,9.648010254E2
4.088747951E2,9.648144531E2
4.099405611E2,9.648390961E2
4.110063251E2,9.648500824E2
4.120720501E2,9.648562622E2
4.131377881E2,9.648562622E2
4.142035301E2,9.648454285E2
4.152692571E2,9.648404694E2
4.163350561E2,9.648202515E2
4.174008421E2,9.648189545E2
4.184665701E2,9.648189545E2
4.195322831E2,9.648279572E2
4.205980211E2,9.648366547E2
4.216637961E2,9.648580933E2
4.227295781E2,9.648831940E2
4.255026381E2,9.650058746E2
4.265355441E2,9.649888611E2
4.275684581E2,9.649718475E2
4.286013401E2,9.649447632E2
4.296341861E2,9.649341583E2
4.298263281E2,9.648944855E2
4.308925881E2,9.648890686E2
4.319588121E2,9.648653412E2
4.330250761E2,9.648498535E2
4.340912891E2,9.648356628E2
4.351575071E2,9.648329926E2
4.362236901E2,9.648329926E2
4.372898891E2,9.648308563E2
4.383560911E2,9.648282623E2
4.394222911E2,9.648174286E2
4.404884801E2,9.648066711E2
4.415546631E2,9.647966766E2
4.426208161E2,9.647846985E2
4.436870011E2,9.647720337E2
4.447532101E2,9.647610474E2
4.458194121E2,9.647481537E2
4.468856171E2,9.647353363E2
4.479517761E2,9.647212219E2
4.490179681E2,9.647145081E2
4.500841501E2,9.647045898E2
4.511503701E2,9.647006989E2
4.522165521E2,9.646878052E2
4.532827451E2,9.646851349E2
4.543489691E2,9.646741486E2
4.554151851E2,9.646721649E2
4.564814161E2,9.646599579E2
4.575476511E2,9.646593475E2
4.586139131E2,9.646501923E2
4.596801771E2,9.646427917E2
4.607463761E2,9.646272278E2
4.618125951E2,9.646174622E2
4.628788121E2,9.645975494E2
4.639450521E2,9.645793152E2
4.650112741E2,9.645599365E2
4.660774951E2,9.645469666E2
4.671437151E2,9.645252228E2
4.682099711E2,9.645178986E2
4.692761791E2,9.645066071E2
4.703424071E2,9.644992065E2
4.714086361E2,9.644903564E2
4.724748371E2,9.644896698E2
4.735410611E2,9.644829559E2
4.746073101E2,9.644756317E2
4.756735041E2,9.644696045E2
4.767397351E2,9.644635010E2
4.778059761E2,9.644532013E2
4.788721961E2,9.644461060E2
4.799383881E2,9.644359589E2
4.810045971E2,9.644292450E2
4.820707571E2,9.644210815E2
4.831369151E2,9.644187164E2
4.842031081E2,9.644110107E2
4.852692611E2,9.644074249E2
4.863354121E2,9.644013977E2
4.874015641E2,9.643930817E2
4.884677111E2,9.643817139E2
4.895338821E2,9.643685913E2
4.906000551E2,9.643586731E2
4.916662141E2,9.643465424E2
4.927323631E2,9.643365479E2
4.937984861E2,9.643254089E2
4.948646291E2,9.643183899E2
4.959307731E2,9.643110657E2
4.969969241E2,9.643013000E2
4.980630641E2,9.642888641E2
4.991292311E2,9.642835236E2
5.001953991E2,9.642711639E2
5.012615951E2,9.642610931E2
5.023277561E2,9.642479706E2
5.033939371E2,9.642449188E2
5.044600731E2,9.642328644E2
5.055262231E2,9.642276001E2
5.065923461E2,9.642250061E2
5.076584821E2,9.642213440E2
5.087246231E2,9.642150879E2
5.097907981E2,9.642082977E2
5.108569651E2,9.642061615E2
5.119231761E2,9.641963196E2
5.129894111E2,9.641960907E2
5.140556731E2,9.641858673E2
5.151218661E2,9.641858673E2
5.161880071E2,9.641738892E2
5.172541351E2,9.641734314E2
