"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.703527188E1,4.736978958E1,8.513571063E0,4.256643173E2,3.559941262E0,1.503409271E2,1.424595458E1,5.261150507E0
9.803529298E1,4.736978215E1,8.513584620E0,4.265659726E2,2.725632698E0,1.503409271E2,1.424595458E1,5.397615924E0
9.903531539E1,4.736976092E1,8.513601378E0,4.259907913E2,2.744565557E0,1.564633723E2,1.424595454E1,5.376616439E0
1.000353363E2,4.736974271E1,8.513623939E0,4.260962488E2,2.615872301E0,1.414426604E2,1.424595452E1,5.293791757E0
1.010353577E2,4.736972372E1,8.513632803E0,4.253885856E2,2.297993591E0,1.480598822E2,1.424595455E1,5.319462020E0
1.020353788E2,4.736968735E1,8.513614424E0,4.257252108E2,3.350958265E0,1.289348145E2,1.424595453E1,5.178949377E0
1.030342033E2,4.736965122E1,8.513571381E0,4.251031790E2,3.420516295E0,2.212577667E2,1.424595453E1,5.029609937E0
1.040341796E2,4.736963439E1,8.513568852E0,4.262708909E2,3.044851440E0,2.212577667E2,1.424595453E1,5.110070760E0
1.050341636E2,4.736961440E1,8.513551126E0,4.265928000E2,2.894324440E0,2.209372864E2,1.424595453E1,5.112832108E0
1.060341198E2,4.736959210E1,8.513504576E0,4.269914643E2,3.394952316E0,2.209372864E2,1.424595451E1,4.980499537E0
1.070340706E2,4.736958711E1,8.513461088E0,4.260677262E2,3.388767139E0,2.209372864E2,1.424595455E1,4.620553478E0
1.080340348E2,4.736957730E1,8.513441878E0,4.268920837E2,3.091144155E0,2.199899902E2,1.424595457E1,4.311416560E0
1.090339835E2,4.736955960E1,8.513416476E0,4.274501017E2,2.975025258E0,2.199899902E2,1.424595457E1,4.041075061E0
1.100339316E2,4.736952590E1,8.513406896E0,4.276103054E2,2.950642967E0,2.199899902E2,1.424595456E1,4.197507237E0
1.110338954E2,4.736953043E1,8.513352205E0,4.267333662E2,3.102761271E0,2.199899902E2,1.424595455E1,4.253396039E0
1.120338418E2,4.736953551E1,8.513316214E0,4.265126190E2,2.756506090E0,2.199899902E2,1.424595456E1,4.649026288E0
1.130337964E2,4.736951983E1,8.513299491E0,4.275337796E2,2.545636704E0,2.199899902E2,1.424595457E1,4.344943568E0
1.140337678E2,4.736948622E1,8.513259083E0,4.274499714E2,3.570967699E0,2.200004883E2,1.424595456E1,4.501304071E0
1.150337139E2,4.736944816E1,8.513262213E0,4.264369151E2,3.500271882E0,2.200004883E2,1.424595455E1,4.558225348E0
1.160336771E2,4.736941737E1,8.513248188E0,4.267607338E2,3.624434975E0,2.200004883E2,1.424595459E1,4.624955224E0
1.170336517E2,4.736939853E1,8.513228207E0,4.264730367E2,3.299467885E0,2.201859131E2,1.424595457E1,4.297619756E0
1.180336233E2,4.736938518E1,8.513208735E0,4.274476235E2,2.806767831E0,2.201859131E2,1.424595457E1,4.276488046E0
1.190335983E2,4.736934205E1,8.513213769E0,4.272666868E2,3.105469411E0,2.201859131E2,1.424595454E1,4.733176562E0
1.200335765E2,4.736932974E1,8.513196387E0,4.278977174E2,2.842060711E0,2.201859131E2,1.424595455E1,4.663680719E0
1.210335555E2,4.736931230E1,8.513188425E0,4.275294897E2,2.458768992E0,2.201859131E2,1.424595453E1,4.790090633E0
1.220335366E2,4.736928878E1,8.513156130E0,4.282894295E2,3.004037841E0,2.207203217E2,1.424595452E1,4.841968554E0
1.230335215E2,4.736926701E1,8.513128585E0,4.279553987E2,3.109723652E0,2.207203217E2,1.424595449E1,5.086996953E0
1.240335064E2,4.736925474E1,8.513113072E0,4.289581856E2,2.717543016E0,2.207203217E2,1.424595448E1,5.228845655E0
1.250334946E2,4.736924859E1,8.513089147E0,4.282520110E2,2.515530739E0,2.207203217E2,1.424595450E1,5.003063235E0
1.260334840E2,4.736924191E1,8.513076142E0,4.286403211E2,2.104428895E0,2.207203217E2,1.424595449E1,5.281707058E0
1.270334749E2,4.736923385E1,8.513031379E0,4.298057588E2,2.596727667E0,2.207203217E2,1.424595446E1,5.885465088E0
1.280334665E2,4.736922638E1,8.513004880E0,4.298713751E2,2.637735288E0,2.207203217E2,1.424595448E1,6.004264480E0
1.290334604E2,4.736921426E1,8.512944854E0,4.289903218E2,3.442025493E0,2.207203217E2,1.424595434E1,6.560135069E0
1.300334562E2,4.736920202E1,8.512922604E0,4.281009280E2,3.144073052E0,2.208132019E2,1.424595445E1,6.715904045E0
1.310334512E2,4.736919474E1,8.512896006E0,4.297873293E2,2.714698948E0,2.208132019E2,1.424595442E1,6.857655246E0
1.320334492E2,4.736917503E1,8.512865066E0,4.297801903E2,2.904149899E0,2.208132019E2,1.424595444E1,6.718352544E0
1.330334473E2,4.736917087E1,8.512856088E0,4.301323706E2,2.256364042E0,2.208132019E2,1.424595441E1,6.803849949E0
1.340334464E2,4.736915256E1,8.512844852E0,4.292962555E2,2.167476968E0,2.208132019E2,1.424595444E1,6.434662741E0
1.350334473E2,4.736911984E1,8.512817170E0,4.309287186E2,3.116660899E0,2.208132019E2,1.424595440E1,6.291631364E0
1.360334485E2,4.736910582E1,8.512786610E0,4.316147504E2,3.095290516E0,2.208132019E2,1.424595444E1,6.437380372E0
1.370334500E2,4.736910075E1,8.512766734E0,4.323231002E2,2.629980000E0,2.208132019E2,1.424595446E1,5.991493319E0
1.380334529E2,4.736907998E1,8.512744280E0,4.308844184E2,2.697270739E0,2.208132019E2,1.424595445E1,5.926182087E0
1.390334568E2,4.736906907E1,8.512721341E0,4.318036931E2,2.664306110E0,2.208132019E2,1.424595447E1,5.682013549E0
1.400334604E2,4.736904635E1,8.512704550E0,4.303758883E2,2.801300455E0,2.208132019E2,1.424595448E1,5.861742649E0
1.410334654E2,4.736901515E1,8.512688485E0,4.302610669E2,2.773920613E0,2.208132019E2,1.424595447E1,6.046429449E0
1.420334705E2,4.736899275E1,8.512688072E0,4.310747960E2,2.460884276E0,2.208132019E2,1.424595446E1,5.933203492E0
1.430334764E2,4.736898208E1,8.512675711E0,4.297894568E2,2.070641200E0,2.208132019E2,1.424595450E1,5.676914795E0
1.440334826E2,4.736897045E1,8.512652828E0,4.293816178E2,1.930011377E0,2.208132019E2,1.424595449E1,5.776518497E0
1.450334898E2,4.736892688E1,8.512615144E0,4.288671719E2,3.306426961E0,2.218331757E2,1.424595440E1,5.711926134E0
