"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.770852546E2,4.736464182E1,8.508574270E0,4.434214065E2,1.392274211E0,2.810010376E2,9.273480442E0,6.478281538E0
1.780852606E2,4.736464430E1,8.508555531E0,4.436489114E2,1.207107667E0,2.810010376E2,9.125635217E0,6.230934622E0
1.790852668E2,4.736464599E1,8.508542762E0,4.440861178E2,1.131880847E0,2.810010376E2,8.951938893E0,6.013086213E0
1.800852730E2,4.736464756E1,8.508530853E0,4.435375196E2,7.495636227E-1,2.810010376E2,9.043612929E0,5.850434618E0
1.810852779E2,4.736464973E1,8.508511523E0,4.432907012E2,8.412028855E-1,2.791180420E2,8.844052179E0,5.673010704E0
1.820852837E2,4.736465237E1,8.508487302E0,4.435442485E2,1.183589431E0,2.791180420E2,8.696890552E0,5.678117083E0
1.830852891E2,4.736465464E1,8.508466489E0,4.441318760E2,1.365632592E0,2.791180420E2,8.530440762E0,5.558392006E0
1.840852952E2,4.736465652E1,8.508449264E0,4.438620490E2,1.196980090E0,2.791180420E2,8.292382587E0,5.177689465E0
1.850852998E2,4.736465992E1,8.508438248E0,4.437165677E2,1.353887995E0,3.010582780E2,8.215363770E0,5.086260009E0
1.860853057E2,4.736466606E1,8.508430257E0,4.446044977E2,1.367118640E0,3.210419022E2,8.037806097E0,5.155744481E0
1.870853119E2,4.736467475E1,8.508413486E0,4.442669497E2,1.472206548E0,3.305332709E2,7.841965003E0,5.327443942E0
1.880853170E2,4.736468336E1,8.508407189E0,4.429762883E2,1.354599566E0,3.331997978E2,7.618232963E0,5.298591340E0
1.890853225E2,4.736469158E1,8.508405187E0,4.425843343E2,1.181816209E0,3.239120632E2,7.448018985E0,5.646620143E0
1.900853281E2,4.736469807E1,8.508388760E0,4.418898401E2,1.069032993E0,3.094337935E2,7.278365405E0,5.364252475E0
1.910853342E2,4.736470698E1,8.508374870E0,4.420433320E2,1.131733949E0,3.116354965E2,7.166913416E0,5.350457582E0
1.920853396E2,4.736472176E1,8.508360160E0,4.420979683E2,1.189507273E0,3.149939887E2,7.021401943E0,5.290393229E0
1.930853567E2,4.736473623E1,8.508344017E0,4.421191485E2,1.306702121E0,3.130892264E2,6.902352617E0,5.317347121E0
1.940853511E2,4.736474870E1,8.508337233E0,4.421925271E2,9.838910971E-1,3.175713912E2,6.827334339E0,5.043124620E0
1.950853572E2,4.736475895E1,8.508324655E0,4.426943269E2,1.237961979E0,3.208921630E2,6.651519597E0,4.935425176E0
1.960853619E2,4.736476120E1,8.508307240E0,4.425659898E2,1.169040953E0,3.090345941E2,6.510592065E0,4.857547819E0
1.970853675E2,4.736476875E1,8.508284210E0,4.426270542E2,1.544200209E0,3.059062965E2,6.369443881E0,4.760492206E0
1.980853729E2,4.736475759E1,8.508255787E0,4.428352519E2,1.404974405E0,2.960323181E2,6.290534385E0,4.964478733E0
1.990853786E2,4.736475214E1,8.508233334E0,4.410524499E2,1.218374770E0,2.960323181E2,6.128638574E0,4.570931513E0
2.000853836E2,4.736474993E1,8.508211402E0,4.411671090E2,1.236595818E0,2.960323181E2,6.057675503E0,4.350817261E0
2.010853898E2,4.736474615E1,8.508189255E0,4.417832082E2,1.307806855E0,2.960323181E2,6.106411660E0,4.345365959E0
2.020853952E2,4.736474319E1,8.508165851E0,4.417830458E2,1.415414530E0,2.960323181E2,6.316040573E0,4.695045308E0
2.030854012E2,4.736474039E1,8.508146189E0,4.422225863E2,1.418025010E0,2.960323181E2,6.136745675E0,4.255323205E0
2.040854076E2,4.736474782E1,8.508144719E0,4.423765682E2,9.302677654E-1,2.734538526E2,6.097673644E0,4.135348234E0
2.050854126E2,4.736474756E1,8.508119357E0,4.423776354E2,1.144343384E0,2.960323181E2,6.099612812E0,4.010018602E0
2.060854181E2,4.736474247E1,8.508118897E0,4.427746653E2,8.368305789E-1,2.850931396E2,6.065753004E0,4.113449854E0
2.070854231E2,4.736473941E1,8.508089090E0,4.425069492E2,9.186810094E-1,2.960323181E2,6.079825612E0,4.184786510E0
2.080854290E2,4.736473562E1,8.508083684E0,4.428344622E2,1.132194008E0,2.850931396E2,6.103270400E0,4.194298975E0
2.090854347E2,4.736473596E1,8.508060596E0,4.427564116E2,8.957247641E-1,2.960323181E2,6.035761795E0,4.371109810E0
2.100854405E2,4.736473588E1,8.508051921E0,4.426923337E2,1.338590257E0,2.850931396E2,5.978450016E0,4.143637937E0
2.110854454E2,4.736473839E1,8.508038228E0,4.424178638E2,1.207062792E0,2.850931396E2,5.951537319E0,3.989350324E0
2.120854510E2,4.736474100E1,8.508023962E0,4.427934103E2,1.098258449E0,2.850931396E2,5.936642438E0,3.987430137E0
2.130854563E2,4.736474210E1,8.508017951E0,4.436666264E2,8.227311647E-1,2.850931396E2,5.911036430E0,3.913587938E0
