"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.610203930E1,4.736412708E1,8.512096497E0,4.349460871E2,2.464226267E0,1.039452562E2,1.466823396E1,9.016926824E0
9.710205623E1,4.736411556E1,8.512130845E0,4.341072747E2,2.565515437E0,1.052488735E2,1.452194916E1,9.210350571E0
9.810207507E1,4.736409625E1,8.512189435E0,4.346708076E2,3.594298433E0,1.166917169E2,1.461833618E1,9.388908244E0
9.910209247E1,4.736407891E1,8.512250901E0,4.339527961E2,4.266772709E0,1.236904318E2,1.473843531E1,1.041562132E1
1.001021106E2,4.736405579E1,8.512363302E0,4.367118551E2,6.315950433E0,1.206145748E2,1.443514803E1,9.591380627E0
1.011021284E2,4.736403191E1,8.512411010E0,4.393863490E2,5.821986735E0,1.295308526E2,1.370869702E1,9.970250133E0
1.021021475E2,4.736401140E1,8.512463180E0,4.374165651E2,5.562961778E0,1.295969667E2,1.311149330E1,8.774690863E0
1.031021657E2,4.736399730E1,8.512572524E0,4.400079191E2,6.510734469E0,1.214263881E2,1.223838828E1,8.048534598E0
1.041021833E2,4.736397258E1,8.512636893E0,4.367894068E2,6.459686128E0,1.268249369E2,1.160903574E1,7.266990373E0
1.051022018E2,4.736396655E1,8.512688583E0,4.330603917E2,5.740589167E0,1.281435820E2,1.090983993E1,6.702692339E0
1.061022195E2,4.736398577E1,8.512747312E0,4.319762930E2,4.348723482E0,1.122431671E2,1.037412343E1,6.844185857E0
1.071022381E2,4.736397249E1,8.512806073E0,4.315266317E2,3.926114620E0,1.141753173E2,1.000578994E1,6.445767432E0
1.081022557E2,4.736395706E1,8.512857609E0,4.301123340E2,4.044747577E0,1.170108829E2,9.593492805E0,6.225232778E0
1.091022737E2,4.736395112E1,8.512924704E0,4.302765743E2,4.278420882E0,1.137336882E2,9.413331415E0,6.135348515E0
1.101022913E2,4.736392887E1,8.512996080E0,4.322927785E2,4.914873265E0,1.191916063E2,9.155080683E0,5.820736587E0
1.111023094E2,4.736393372E1,8.513075235E0,4.316190657E2,5.109378424E0,1.027323980E2,8.939171512E0,5.663781494E0
1.113658554E2,4.736397684E1,8.513029985E0,4.333003677E2,4.637910594E-2,1.206022362E2,2.299389408E1,1.168104318E1
1.123658574E2,4.736396693E1,8.513015305E0,4.331565481E2,1.959175991E-1,1.206022229E2,2.246276699E1,1.110281693E1
1.133658617E2,4.736397468E1,8.513000129E0,4.352545320E2,1.160532091E0,NaN,2.218834346E1,9.858587910E0
1.143658657E2,4.736398234E1,8.512960235E0,4.340704138E2,1.417446840E0,2.892823899E2,2.190210069E1,8.515737747E0
1.153658691E2,4.736395818E1,8.512969088E0,4.309308831E2,1.426141462E0,NaN,2.200190328E1,8.504569795E0
1.163658743E2,4.736393106E1,8.512875105E0,4.355724671E2,2.130526483E0,2.539117556E2,2.145571556E1,8.902130961E0
1.173658789E2,4.736397224E1,8.512829856E0,4.329912002E2,2.721899998E0,3.067149029E2,2.070902502E1,9.442827162E0
1.183658849E2,4.736402198E1,8.512762993E0,4.327262668E2,4.701192290E0,3.167518317E2,2.017612545E1,9.397370350E0
1.193658912E2,4.736405545E1,8.512676514E0,4.335965339E2,5.904216691E0,3.162670661E2,1.943070769E1,8.903284836E0
1.203658988E2,4.736409497E1,8.512598285E0,4.320754755E2,7.014494038E0,3.204029870E2,1.862219000E1,8.010993713E0
1.213659041E2,4.736410872E1,8.512485463E0,4.323804983E2,7.545126270E0,3.111272755E2,1.868018273E1,8.727521870E0
1.223659117E2,4.736410344E1,8.512384579E0,4.327040335E2,7.183777490E0,3.010854162E2,1.915999695E1,8.596175950E0
1.233659207E2,4.736409689E1,8.512323539E0,4.327715348E2,6.220062494E0,2.993285551E2,1.709032510E1,7.679661010E0
1.243659422E2,4.736411570E1,8.512248281E0,4.331958370E2,6.026679815E0,3.015935729E2,1.617888222E1,7.811722261E0
1.253659366E2,4.736413090E1,8.512177525E0,4.356152446E2,5.756398976E0,2.991597832E2,1.517007186E1,7.281444314E0
1.263659444E2,4.736412263E1,8.512104777E0,4.372330524E2,5.103243785E0,2.886522765E2,1.438330077E1,7.121365358E0
1.275357831E2,4.736414975E1,8.512066967E0,4.347765834E2,1.549557242E-1,NaN,1.755269118E1,1.051832735E1
1.285357961E2,4.736414295E1,8.512098160E0,4.345372805E2,1.143906388E0,1.165763114E2,1.736645469E1,1.052298110E1
1.295358079E2,4.736414417E1,8.512150980E0,4.350375830E2,2.611553276E0,9.524031335E1,1.700804149E1,9.725181889E0
1.305358212E2,4.736413937E1,8.512191939E0,4.357945235E2,3.227800786E0,1.009271375E2,1.665072495E1,1.005092002E1
1.315358331E2,4.736410497E1,8.512250030E0,4.351909522E2,4.380068497E0,1.213638074E2,1.620819196E1,9.851512383E0
1.325358455E2,4.736409184E1,8.512310957E0,4.355494097E2,4.657708817E0,1.192111767E2,1.568904644E1,9.307045822E0
1.335358584E2,4.736407661E1,8.512356587E0,4.377903306E2,4.630649580E0,1.232457888E2,1.542647378E1,9.221961176E0
1.345358707E2,4.736406103E1,8.512408662E0,4.364106757E2,4.479626033E0,1.231953770E2,1.498641307E1,9.163568338E0
1.355358826E2,4.736402981E1,8.512493209E0,4.345726710E2,5.903968080E0,1.209917796E2,1.456559641E1,8.727996284E0
1.365358967E2,4.736402970E1,8.512555677E0,4.358300373E2,5.477239375E0,1.125780507E2,1.422300987E1,8.031844239E0
1.375359082E2,4.736403655E1,8.512647237E0,4.357112327E2,6.030150439E0,1.054607677E2,1.382028729E1,7.788003283E0
1.385359197E2,4.736406166E1,8.512695320E0,4.350055554E2,5.025873941E0,9.323218353E1,1.344372807E1,7.748056283E0
1.395359325E2,4.736404767E1,8.512741274E0,4.352914920E2,4.222200985E0,9.958484062E1,1.293508576E1,7.562358393E0
1.405359463E2,4.736405068E1,8.512825134E0,4.351769144E2,4.827026783E0,9.073642785E1,1.248049647E1,7.344122379E0
1.415359581E2,4.736404317E1,8.512886165E0,4.350012729E2,4.647312614E0,9.037200324E1,1.208440035E1,7.062810886E0
1.425359713E2,4.736403954E1,8.512943561E0,4.336733910E2,4.400035116E0,8.761860558E1,1.179770134E1,6.824217427E0
1.435359831E2,4.736401405E1,8.513013960E0,4.335699336E2,4.314680993E0,9.598522892E1,1.148619319E1,7.306120779E0
1.445359961E2,4.736399299E1,8.513091550E0,4.331369623E2,4.963075627E0,1.014091980E2,1.115898419E1,6.732765178E0
1.455360090E2,4.736396569E1,8.513166907E0,4.331700238E2,5.391602259E0,1.107581981E2,1.097473333E1,6.034002077E0
1.465360200E2,4.736396518E1,8.513206137E0,4.328358435E2,4.350375144E0,1.054519085E2,1.073966803E1,6.231010561E0
1.467948144E2,4.736394356E1,8.512962633E0,4.331886358E2,1.128750793E-1,9.250484188E1,2.417636605E1,1.139983985E1
1.477948134E2,4.736394717E1,8.512954473E0,4.330672519E2,5.125930951E-2,9.250483713E1,2.411021515E1,1.193178626E1
1.487948127E2,4.736395078E1,8.512949627E0,4.328302817E2,2.212290358E-1,9.250483486E1,2.356576081E1,1.148011207E1
1.497948134E2,4.736393116E1,8.512906671E0,4.344989943E2,1.552735718E0,2.413914598E2,2.292723209E1,1.194112402E1
