"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.604706125E0,-4.011585999E1,-1.504136086E1,-1.950795364E1
2.614704125E0,-3.854241943E1,-1.759100723E1,-2.050080872E1
2.624702125E0,-3.653451538E1,-2.002919388E1,-2.119628143E1
2.634700125E0,-3.463784790E1,-2.312593269E1,-2.167409897E1
2.644698125E0,-3.270368958E1,-2.640388680E1,-2.153279495E1
2.654696125E0,-3.025138855E1,-2.982394028E1,-2.098464203E1
2.664694125E0,-2.698405457E1,-3.285118103E1,-2.005270386E1
2.674692125E0,-2.349041748E1,-3.556747055E1,-1.967883682E1
2.684689125E0,-2.005523682E1,-3.808946609E1,-1.883387375E1
2.694687125E0,-1.666152954E1,-4.038756561E1,-1.768530655E1
2.704685125E0,-1.309628296E1,-4.224046326E1,-1.646208954E1
2.714683125E0,-9.461914062E0,-4.355920029E1,-1.565938568E1
2.724681125E0,-6.207839966E0,-4.448265457E1,-1.478314972E1
2.734679125E0,-3.091369629E0,-4.498474884E1,-1.408102036E1
2.744677125E0,-1.051025391E0,-4.551883698E1,-1.301581573E1
2.754675125E0,3.343811035E-1,-4.598017120E1,-1.163076019E1
2.764673125E0,1.157501221E0,-4.633386993E1,-1.066730499E1
2.774671125E0,1.362106323E0,-4.656645966E1,-1.001150131E1
2.784669125E0,8.761749268E-1,-4.643706512E1,-1.013548279E1
2.794666125E0,-2.314910889E-1,-4.624153137E1,-1.083068466E1
2.804664125E0,-2.065948486E0,-4.582811737E1,-1.154464340E1
2.814662125E0,-4.470703125E0,-4.573204041E1,-1.241764069E1
2.824660125E0,-7.523742676E0,-4.516777039E1,-1.306371689E1
2.834658125E0,-1.133010864E1,-4.420417786E1,-1.379145050E1
2.844656125E0,-1.599473572E1,-4.246521759E1,-1.439339828E1
2.854654125E0,-2.062937927E1,-4.006439209E1,-1.486746979E1
2.864652125E0,-2.539404297E1,-3.684949493E1,-1.523010635E1
2.874650125E0,-2.964364624E1,-3.355553436E1,-1.524970245E1
2.884648125E0,-3.354046631E1,-2.995594978E1,-1.525022507E1
2.894646125E0,-3.664364624E1,-2.612057495E1,-1.538261795E1
2.904644125E0,-3.911497498E1,-2.228358459E1,-1.480102539E1
2.914641125E0,-4.098854065E1,-1.832722855E1,-1.449311829E1
2.924639125E0,-4.279792786E1,-1.430639267E1,-1.385941315E1
2.934637125E0,-4.439347839E1,-1.000427437E1,-1.283587646E1
2.944635125E0,-4.555543518E1,-5.389944077E0,-1.214768219E1
2.954633125E0,-4.608674622E1,-1.027664185E0,-1.202544403E1
2.964631125E0,-4.582870483E1,2.414247513E0,-1.252994919E1
2.974629125E0,-4.501132202E1,4.890182495E0,-1.323512650E1
2.984627125E0,-4.459671021E1,6.826267242E0,-1.417866898E1
2.994625125E0,-4.416566467E1,8.174825668E0,-1.480515671E1
3.004623125E0,-4.411585999E1,8.848398209E0,-1.517509842E1
3.014620125E0,-4.398912048E1,9.015707016E0,-1.555440903E1
