"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.402785250E0,-7.413487434E-1,-4.992463291E-1,3.500197530E-1
3.412783250E0,-8.279078007E-1,-4.439686239E-1,2.861459553E-1
3.422781250E0,-8.950458169E-1,-3.764907718E-1,2.218993455E-1
3.432780250E0,-9.404732585E-1,-2.886927426E-1,1.530984342E-1
3.442778250E0,-9.716311693E-1,-1.498017013E-1,1.038038582E-1
3.452776250E0,-9.822607040E-1,8.404379711E-3,1.009735912E-1
3.462774250E0,-9.614731073E-1,1.432673931E-1,1.469594687E-1
3.472772250E0,-9.050967097E-1,2.296637297E-1,2.510075569E-1
3.482771250E0,-8.504164219E-1,2.346664816E-1,3.672782481E-1
3.492769250E0,-9.315568209E-1,2.052567899E-2,4.014581740E-1
3.502767250E0,-7.532225251E-1,1.382107735E-1,4.747643471E-1
3.512765250E0,-6.677302718E-1,-1.030513570E-1,5.778346658E-1
3.522763250E0,-4.781813622E-1,-2.312506139E-1,6.322941780E-1
3.532761250E0,-3.024617136E-1,-3.926751912E-1,6.237161160E-1
3.542760250E0,-1.167190149E-1,-5.001345873E-1,6.384151578E-1
3.552758250E0,5.826237798E-2,-5.444421172E-1,6.554967165E-1
3.562756250E0,1.917032599E-1,-5.380055308E-1,6.607950926E-1
3.572754250E0,2.278111726E-1,-4.553838670E-1,6.520743966E-1
3.582752250E0,1.810436696E-1,-3.357514739E-1,6.478958726E-1
3.592751250E0,9.448148310E-2,-1.989578158E-1,6.431884170E-1
3.602749250E0,2.268238924E-2,-4.964635894E-2,6.276627183E-1
3.612747250E0,-2.359376475E-2,4.455125332E-2,6.262967587E-1
3.622745250E0,-3.660170734E-2,8.368214220E-2,6.241342425E-1
3.632743250E0,-1.288434118E-2,8.373332769E-2,5.997639894E-1
3.642741250E0,2.745775506E-2,7.135681808E-2,5.440136194E-1
3.652740250E0,7.571548223E-2,4.291870818E-2,4.715960026E-1
3.662738250E0,1.170440167E-1,-2.489787061E-3,4.236500263E-1
3.672736250E0,1.396778673E-1,-7.416459173E-2,4.005400538E-1
3.682734250E0,1.537952870E-1,-1.488348395E-1,3.821866214E-1
3.692732250E0,1.542504728E-1,-1.927053034E-1,3.711121380E-1
3.702731250E0,1.325489134E-1,-2.170545906E-1,3.792155981E-1
3.712729250E0,1.147000939E-1,-2.084904462E-1,3.802393079E-1
3.722727250E0,1.267849952E-1,-2.139976025E-1,3.451958299E-1
3.732725250E0,1.658009291E-1,-2.278919816E-1,3.455335498E-1
3.742723250E0,2.079214901E-1,-2.639725208E-1,3.682713509E-1
3.752721250E0,2.591167390E-1,-3.107410967E-1,3.334410489E-1
3.762720250E0,2.937607169E-1,-3.651500046E-1,2.622939050E-1
3.772718250E0,2.968849838E-1,-4.013268054E-1,1.815439165E-1
3.782716250E0,2.551780045E-1,-3.640795946E-1,9.625432640E-2
3.792714250E0,1.632250249E-1,-2.635589838E-1,3.520136327E-2
3.802711042E0,4.547896609E-2,-1.363350004E-1,-9.469700046E-3
3.812710042E0,-6.330969930E-2,1.954502054E-2,-5.648687482E-2
3.822708042E0,-1.295883209E-1,1.872842163E-1,-1.367633343E-1
