"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.542849986E1,4.736405464E1,8.512077035E0,4.345236746E2,2.041505532E0,2.776774068E2,6.263739750E0,3.887926071E0
8.642850487E1,4.736406188E1,8.512046265E0,4.344277448E2,2.237053958E0,2.784925756E2,6.102023983E0,3.747364918E0
8.742851011E1,4.736406763E1,8.512018782E0,4.346092079E2,2.072915290E0,2.785865999E2,6.144995155E0,3.832393460E0
8.863193705E1,4.736409433E1,8.512018433E0,4.345761933E2,2.176254662E-1,2.643952353E2,6.344621698E0,3.827528136E0
8.963194206E1,4.736408646E1,8.512035594E0,4.349214501E2,1.192750294E-1,2.359003766E2,6.221977409E0,3.949661994E0
9.063194743E1,4.736409034E1,8.512054688E0,4.348243163E2,1.674559039E-1,2.359003918E2,6.231595913E0,4.066490115E0
9.163195243E1,4.736409927E1,8.512078632E0,4.344990377E2,1.807680019E-1,2.359004099E2,6.107714066E0,3.889768939E0
9.263195720E1,4.736409079E1,8.512099592E0,4.339252905E2,9.393278236E-1,1.336829312E2,6.114930446E0,4.113075003E0
9.363196245E1,4.736409104E1,8.512131376E0,4.338611704E2,1.632403120E0,1.183815754E2,6.203486896E0,4.416530136E0
9.463196686E1,4.736409815E1,8.512164960E0,4.334460091E2,2.035430466E0,1.004694076E2,6.192380365E0,4.372659242E0
9.563197127E1,4.736409150E1,8.512186012E0,4.334676878E2,1.594720808E0,1.234943303E2,6.349074452E0,4.585885175E0
9.663197687E1,4.736408863E1,8.512223573E0,4.336713436E2,2.136854261E0,1.118887728E2,6.408616932E0,4.641753235E0
9.763198259E1,4.736408539E1,8.512258081E0,4.335108833E2,2.307572729E0,1.065698215E2,6.333863666E0,4.508752594E0
9.863198664E1,4.736408352E1,8.512279724E0,4.337081328E2,1.546027925E0,1.022158217E2,6.286134243E0,4.565733248E0
9.963199117E1,4.736407953E1,8.512299387E0,4.338345277E2,1.505887220E0,1.066421113E2,6.252608370E0,4.582047471E0
1.006319977E2,4.736408276E1,8.512322302E0,4.337414704E2,1.470106903E0,9.840683121E1,6.203862460E0,4.609473907E0
1.016320011E2,4.736408272E1,8.512349505E0,4.335455819E2,1.707893438E0,1.015860079E2,6.262451881E0,4.638619165E0
1.026320057E2,4.736408476E1,8.512368245E0,4.340233661E2,1.448014024E0,9.270159737E1,6.283649685E0,4.800128352E0
1.036320145E2,4.736408375E1,8.512389762E0,4.340206721E2,1.506498990E0,9.585878332E1,6.265158587E0,4.709324961E0
1.046320147E2,4.736407866E1,8.512411994E0,4.338543025E2,1.416914028E0,1.038310068E2,6.214505170E0,4.563959376E0
1.056320204E2,4.736407091E1,8.512455185E0,4.330984023E2,2.272397134E0,1.000349437E2,6.320976351E0,4.449603128E0
1.066320246E2,4.736407446E1,8.512472070E0,4.333882262E2,1.476173789E0,9.501132348E1,6.211846642E0,4.544806981E0
1.076320293E2,4.736407380E1,8.512497715E0,4.334507052E2,1.508145658E0,9.137616178E1,6.182943659E0,4.742031395E0
1.086320353E2,4.736406355E1,8.512521623E0,4.333593847E2,1.518786802E0,1.094286954E2,6.317855715E0,4.895832292E0
1.096320395E2,4.736406273E1,8.512543443E0,4.333394568E2,1.486508910E0,1.031848931E2,6.275192011E0,4.941639315E0
1.106320436E2,4.736406268E1,8.512576830E0,4.340953600E2,1.498585138E0,9.891325746E1,6.268811629E0,4.982976259E0
1.116320492E2,4.736406008E1,8.512603003E0,4.336444529E2,1.478576536E0,9.331221229E1,6.233244391E0,5.042466726E0
1.126320534E2,4.736406067E1,8.512628605E0,4.328908833E2,1.562064325E0,9.384354470E1,6.146217969E0,4.767459994E0
1.136320581E2,4.736405374E1,8.512652277E0,4.325532867E2,1.503110502E0,1.001807645E2,6.065575536E0,4.624393569E0
1.146320629E2,4.736405017E1,8.512677291E0,4.326513051E2,1.463266487E0,1.042629905E2,6.073324770E0,4.663008507E0
1.156320681E2,4.736404794E1,8.512703458E0,4.326955532E2,1.541448368E0,9.981728042E1,6.201680267E0,4.840558506E0
1.166320730E2,4.736404323E1,8.512728078E0,4.329131043E2,1.534863452E0,1.057751157E2,6.121715743E0,4.891454336E0
1.176320769E2,4.736404133E1,8.512753272E0,4.325522617E2,1.487461077E0,9.932896688E1,6.023850124E0,4.762768961E0
1.186320825E2,4.736404139E1,8.512781347E0,4.329548049E2,1.755326293E0,9.676692078E1,6.024411638E0,4.628313983E0
1.196320870E2,4.736403754E1,8.512808378E0,4.328325510E2,1.777141016E0,1.033574580E2,5.861518182E0,4.621616909E0
1.206320918E2,4.736403129E1,8.512835910E0,4.328864087E2,1.793175354E0,1.086865743E2,5.922205307E0,4.618930166E0
1.216320972E2,4.736403725E1,8.512866273E0,4.327881970E2,1.811290574E0,8.721958028E1,6.072258877E0,4.854118268E0
1.226321018E2,4.736403101E1,8.512891803E0,4.326577992E2,1.786559929E0,1.017328999E2,5.993376478E0,4.690830212E0
1.236321056E2,4.736403148E1,8.512922608E0,4.323232135E2,1.925542953E0,8.566443310E1,6.097657620E0,4.947245647E0
